age(ka),d18OcarbVPDB
20.307,-12.56
20.312,-12.56
20.316,-12.7
20.321,-12.71
20.326,-12.5
20.33,-12.47
20.335,-12.48
20.34,-12.4
20.344,-12.41
20.349,-12.49
20.354,-12.46
20.358,-12.47
20.363,-12.54
20.367,-12.55
20.372,-12.44
20.377,-12.42
20.381,-12.45
20.386,-12.35
20.391,-12.33
20.395,-12.27
20.4,-12.3
20.405,-12.3
20.409,-12.26
20.414,-12.23
20.416,-12.31
20.419,-12.37
20.423,-12.1
20.425,-12.09
20.427,-11.95
20.428,-11.99
20.433,-12.14
20.433,-12.14
20.433,-12.15
20.437,-12.14
20.44,-12.13
20.441,-12.13
20.442,-12.13
20.447,-12.11
20.447,-12.1
20.449,-12.05
20.451,-12.02
20.454,-12.01
20.456,-12.02
20.458,-12.02
20.46,-12.01
20.461,-12.02
20.465,-12.04
20.466,-12.04
20.468,-12.02
20.47,-12.0
20.474,-12.02
20.474,-12.02
20.475,-12.01
20.479,-11.99
20.482,-12.0
20.482,-12.0
20.484,-12.01
20.488,-12.01
20.489,-12.01
20.491,-12.06
20.493,-12.12
20.496,-12.14
20.498,-12.15
20.499,-12.16
20.502,-12.22
20.503,-12.22
20.507,-12.23
20.507,-12.23
20.509,-12.21
20.512,-12.19
20.515,-12.22
20.516,-12.23
20.516,-12.23
20.521,-12.18
20.523,-12.16
20.524,-12.16
20.526,-12.19
20.53,-12.21
20.531,-12.21
20.532,-12.17
20.536,-12.08
20.537,-12.07
20.541,-12.05
20.541,-12.05
20.544,-12.04
20.545,-12.04
20.55,-12.03
20.55,-12.03
20.551,-12.03
20.555,-12.08
20.558,-12.08
20.558,-12.08
20.56,-12.07
20.565,-11.98
20.565,-11.98
20.567,-11.96
20.57,-11.94
20.572,-11.95
20.575,-11.96
20.576,-11.96
20.579,-11.97
20.579,-11.96
20.584,-11.94
20.584,-11.94
20.585,-11.95
20.589,-11.97
20.592,-11.97
20.593,-11.97
20.594,-11.96
20.599,-11.95
20.599,-11.95
20.601,-12.0
20.604,-12.06
20.606,-12.14
20.609,-12.22
20.61,-12.25
20.613,-12.3
20.614,-12.3
20.618,-12.33
20.619,-12.33
20.62,-12.33
20.623,-12.32
20.627,-12.29
20.627,-12.29
20.628,-12.29
20.633,-12.32
20.634,-12.33
20.636,-12.36
20.638,-12.37
20.641,-12.3
20.643,-12.27
20.644,-12.28
20.648,-12.33
20.648,-12.33
20.652,-12.34
20.653,-12.33
20.654,-12.31
20.657,-12.29
20.661,-12.3
20.662,-12.3
20.662,-12.31
20.667,-12.45
20.668,-12.47
20.67,-12.46
20.672,-12.44
20.675,-12.38
20.677,-12.35
20.679,-12.34
20.682,-12.33
20.682,-12.33
20.686,-12.32
20.687,-12.32
20.689,-12.31
20.691,-12.29
20.696,-12.29
20.696,-12.29
20.696,-12.29
20.701,-12.2
20.703,-12.18
20.705,-12.17
20.706,-12.17
20.71,-12.18
20.711,-12.18
20.713,-12.21
20.716,-12.24
20.717,-12.24
20.72,-12.21
20.722,-12.22
20.724,-12.23
20.725,-12.26
20.73,-12.39
20.73,-12.39
20.731,-12.4
20.735,-12.34
20.737,-12.31
20.739,-12.29
20.74,-12.28
20.744,-12.26
20.748,-12.26
20.751,-12.26
20.756,-12.27
20.758,-12.28
20.759,-12.28
20.764,-12.31
20.765,-12.32
20.765,-12.32
20.769,-12.38
20.772,-12.41
20.774,-12.43
20.774,-12.43
