age(ce),Mg25,Sr88
1841.64,7116.26,159.146
1841.26,6527.27,141.784
1840.91,7401.72,153.123
1840.53,6855.26,145.844
1840.19,7486.84,138.11
1839.81,6199.7,166.257
1839.46,5821.54,152.315
1839.08,6383.1,148.797
1838.73,5980.35,146.177
1838.35,5754.29,145.99
1838,6327.14,152.529
1837.62,6716,167.221
1837.27,5817.11,150.501
1836.89,6577.8,186.33
1836.54,6132.76,181.013
1836.16,6241.75,160.767
1835.81,6607.57,148.101
1835.43,5454.27,138.61
1835.05,5126.44,151.897
1834.71,6276.68,179.055
1834.33,5906.96,166.15
1833.98,5889.67,162.677
1833.6,6017.57,169.587
1833.25,6807.25,170.967
1832.87,6379.61,164.807
1832.52,7441.16,147.889
1832.14,6594.26,152.208
1831.79,7488.91,153.408
1831.41,6610.76,143.053
1831.06,6470.85,138.347
1830.68,7365.58,156.899
1830.33,6868.53,147.626
1829.95,5780.81,147.704
1829.61,5915.91,144.145
1829.23,6392.64,162.497
1828.88,5739.18,158.479
1828.5,5374.18,139.527
1828.15,6420.18,166.953
1827.77,5136.35,177.532
1827.42,5810.84,153.89
1827.04,5704.58,167.005
1826.69,5582.08,155.915
1826.31,5796.69,174.614
1825.96,5319.59,152.453
1825.58,5488.44,151.457
1825.23,6146.33,150.67
1824.85,5923.19,146.285
1824.51,5424.02,180.582
1824.13,5562.97,135.788
1823.78,6656.36,172.729
1823.4,5221.59,173.135
1823.05,5907.34,161.992
1822.67,5669.19,152.819
1822.32,6930.99,144.839
1821.94,5953.74,150.466
1821.59,5595.68,143.486
1821.21,5766,196.465
1820.86,6473.27,143.412
1820.48,5512.08,140.231
1820.13,6081.67,147.659
1819.75,6042.58,155.21
1819.41,6027.15,132.429
1819.03,6555.51,159.071
1818.68,6215.96,143.341
1818.3,5766.41,200.99
1817.95,5167.36,140.254
1817.57,5883.54,134.622
1817.22,5423.73,151.034
1816.84,5177.61,134.517
1816.49,5280.92,153.722
1816.11,5506.69,134.689
1815.77,5209.15,180.406
1815.62,5364.01,129.374
1815.48,5279.65,119.456
1815.34,5704.12,146.003
1815.2,5675.37,134.047
1815.07,5401.89,125.572
1814.92,5167.69,120.869
1814.79,5741.99,135.997
1814.64,5546.8,149.36
1814.51,5362.66,137.436
1814.36,4748.44,129.253
1814.23,5547.01,141.528
1814.08,5796.92,147.552
1813.95,5061.7,137.519
1813.8,5489.1,138.495
1813.67,5302.25,149.089
1813.53,5935.56,140.86
1813.39,5329.38,135.949
1813.25,6318.05,133.926
1813.11,5989.56,129.004
1812.97,6240.66,139.697
1812.83,5858.46,153.487
1812.69,6118.01,146.274
1812.56,5391.54,176.784
1812.41,6383.6,149.259
1812.28,6506.85,138.44
1812.13,6143.36,147.503
1812,6326.48,150.277
1811.85,6647.46,157.566
1811.72,5150.67,148.106
1811.57,6448.43,157.844
1811.44,6351.53,152.91
1811.3,6263.87,140.428
1811.16,6052.16,155.26
1811.02,5949.05,138.541
1810.88,6197.55,139.443
1810.74,6092.82,177.034
1810.6,5722.38,140.76
1810.46,5652.45,151.976
1810.33,5838.07,163.315
1810.18,6235.62,140.638
1810.05,5845.05,144.287
1809.9,6333.12,138.83
1809.77,5820.84,132.706
1809.62,6660.07,143.901
1809.49,6890.79,143.901
1809.34,6991.53,159.164
1809.21,6336.61,146.899
1809.06,6101.51,140.053
1808.93,6020.28,136.418
1808.79,5914.54,146.69
1808.65,5797.14,168.155
1808.51,5847.77,146.816
1808.37,6519.37,210.118
1808.23,6619.29,134.366
1808.09,6615.84,150.155
1807.95,6599.8,156.31
1807.82,6071.27,162.277
1807.67,6131.99,142.249
1807.52,5703.03,153.738
1807.39,5323.96,153.721
1807.25,6075.02,154.186
1807.11,5488.87,146.253
1806.97,6158.26,157.244
1806.83,5753.34,148.63
1806.69,5447.55,146.057
1806.56,5784.63,136.38
1806.41,6181.15,160.562
1806.28,5882.07,146.825
1806.13,5161.82,144.51
1806,5757.01,128.97
1805.85,5523.2,173.926
1805.72,5384.66,139.162
1805.57,5779.74,124.377
1805.44,5489.74,151.473
1805.29,6141.78,127.566
1805.16,5861.41,137.153
1805.02,6409.84,123.569
1804.88,5479.11,134.443
1804.74,6468.75,125.06
1804.6,5434.78,129.789
1804.46,5199.5,122.171
1804.32,5772.21,138.393
1804.18,5799.29,127.012
1804.05,5848.19,145.74
1803.9,5990.59,142.534
1803.77,5701.92,158.438
1803.62,6437.82,301.505
1803.49,5419.09,139.297
1803.34,5839.13,142.526
1803.21,5702.38,126.454
1803.06,5324.78,114.326
1802.93,5618.54,191.873
1802.78,6423.28,260.197
1802.65,6250.29,126.673
1802.51,6026.49,122.749
