age,ODL(Optical Density of Luminescence)
54097.8,1.19369
54145.3,1.19285
54192.9,1.19201
54240.5,1.19077
54288.1,1.18852
54335.6,1.18627
54383.2,1.18403
54430.8,1.18178
54478.4,1.17967
54526.0,1.17756
54573.5,1.17546
54621.1,1.17336
54668.7,1.17109
54716.3,1.1687
54763.9,1.16632
54811.4,1.16393
54859.0,1.16207
54906.6,1.16193
54954.2,1.16179
55001.7,1.16165
55049.3,1.16151
55096.9,1.15889
55144.5,1.15594
55192.1,1.153
55239.6,1.15005
55287.2,1.14718
55334.8,1.14437
55382.4,1.14156
55429.9,1.13875
55477.5,1.13595
55525.1,1.13314
55572.7,1.13034
55620.3,1.12753
55667.8,1.12473
55715.4,1.12321
55763.0,1.12195
55810.6,1.12068
55858.1,1.11942
55905.7,1.1172
55953.3,1.11398
56000.9,1.11075
56048.5,1.10753
56096.0,1.10436
56143.6,1.10155
56191.2,1.09875
56238.8,1.09594
56286.4,1.09313
56333.9,1.09099
56381.5,1.08902
56429.1,1.08705
56476.7,1.08509
56524.2,1.08324
56571.8,1.08156
56619.4,1.07988
56667.0,1.0782
56714.6,1.07654
56762.1,1.07513
56809.7,1.07373
56857.3,1.07233
56904.9,1.07093
56952.4,1.06911
57000.0,1.06715
57047.6,1.06518
57095.2,1.06322
57142.8,1.06217
57190.3,1.06259
57237.9,1.06301
57285.5,1.06343
57333.1,1.06381
57380.7,1.06297
57428.2,1.06212
57475.8,1.06128
57523.4,1.06044
57571.0,1.0596
57618.5,1.05876
57666.1,1.05792
57713.7,1.05708
57761.3,1.05642
57808.8,1.05614
57856.4,1.05586
57904.0,1.05558
57951.6,1.0553
57999.2,1.05461
58046.7,1.0539
58094.3,1.0532
58141.9,1.0525
58189.5,1.05162
58237.1,1.05064
58284.6,1.04965
58332.2,1.04867
58379.8,1.04773
58427.4,1.04689
58474.9,1.04604
58522.5,1.0452
58570.1,1.04436
58617.7,1.04417
58665.3,1.04403
58712.8,1.04389
58760.4,1.04375
58808.0,1.0432
58855.6,1.04236
58903.1,1.04152
58950.7,1.04068
58998.3,1.04013
59045.9,1.04055
59093.5,1.04098
59141.0,1.0414
59188.6,1.04182
59236.2,1.04162
59283.8,1.04134
59331.4,1.04106
59378.9,1.04078
59426.5,1.0402
59474.1,1.03936
59521.7,1.03851
59569.2,1.03767
59616.8,1.03699
59664.4,1.03699
59712.0,1.03699
59759.6,1.03699
59807.1,1.03699
59854.7,1.03605
59902.3,1.03492
59949.9,1.0338
59997.4,1.03268
60045.0,1.03223
60092.6,1.03252
60140.2,1.0328
60187.8,1.03308
60235.3,1.03316
60282.9,1.03189
60330.5,1.03063
60378.1,1.02937
60425.6,1.0281
60473.2,1.02815
60520.8,1.02858
60568.4,1.029
60616.0,1.02942
