age_calBP,Rainfall Index
1134,0.4393
1135,0.4728
1136,0.5063
1137,0.551
1138,0.5957
1139,0.5957
1140,0.5956
1141,0.5955
1142,0.5954
1143,0.5953
1144,0.696
1145,0.7968
1146,0.7743
1147,0.7518
1148,0.7069
1149,0.662
1150,0.7366
1151,0.8112
1152,0.8858
1153,0.7737
1154,0.7138
1155,0.654
1156,0.5942
1157,0.6837
1158,0.7732
1159,0.8852
1160,0.9075
1161,0.8327
1162,0.7579
1163,0.6832
1164,0.6383
1165,0.6681
1166,0.6978
1167,0.7276
1168,0.7724
1169,0.8171
1170,0.6153
1171,0.4136
1172,0.421
1173,0.4284
1174,0.4357
1175,0.4469
1176,0.458
1177,0.3459
1178,0.2337
1179,0.2337
1180,0.2336
1181,0.2111
1182,0.1886
1183,0.1997
1184,0.2108
1185,0.1435
1186,0.0762
1187,0.0089
1188,0.0648
1189,0.1208
1190,0.1431
1191,0.1654
1192,0.0421
1193,-0.0813
1194,-0.0925
1195,-0.1038
1196,-0.0367
1197,0.0304
1198,0.0976
1199,0.0079
1200,-0.0221
1201,-0.0521
1202,-0.082
1203,0.0
1204,0.0821
1205,0.1642
1206,0.1043
1207,0.0445
1208,-0.0153
1209,-0.1349
1210,-0.2545
1211,-0.3741
1212,-0.307
1213,-0.2398
1214,-0.1727
1215,-0.1056
1216,-0.1206
1217,-0.1356
1218,-0.1506
1219,-0.1208
1220,-0.0911
1221,-0.0613
1222,-0.0464
1223,-0.0316
1224,-0.0167
1225,-0.0504
1226,-0.0841
1227,-0.0319
1228,0.0203
1229,0.0725
1230,0.1396
1231,0.2067
1232,0.2739
1233,0.341
1234,0.326
1235,0.311
1236,0.2959
1237,0.3257
1238,0.3555
1239,0.3853
1240,0.3777
1241,0.3702
1242,0.3626
1243,0.3924
1244,0.4222
1245,0.452
1246,0.4295
1247,0.407
1248,0.3845
1249,0.3247
1250,0.2649
1251,0.205
1252,0.2722
1253,0.3393
1254,0.4064
1255,0.4231
1256,0.4399
1257,0.4566
1258,0.4733
1259,0.518
1260,0.5627
1261,0.6075
1262,0.6373
1263,0.6671
1264,0.6968
1265,0.6856
1266,0.6743
1267,0.6294
1268,0.45
1269,0.2707
1270,0.0914
1271,0.1697
1272,0.248
1273,0.5168
1274,0.7856
1275,1.0544
1276,1.3232
1277,1.1961
1278,1.0691
1279,0.942
1280,0.8598
1281,0.7775
1282,0.6953
1283,0.5384
1284,0.3814
1285,0.2245
1286,0.2244
1287,0.2243
1288,0.2243
1289,0.1345
1290,0.0448
1291,-0.0449
1292,-0.03
1293,-0.0152
1294,-0.0003
1295,-0.0079
1296,-0.0154
1297,-0.023
1298,-0.0343
1299,-0.0455
1300,-0.0568
1301,-0.0681
1302,-0.0159
1303,0.0363
1304,0.0885
1305,0.0585
1306,0.0285
1307,-0.0014
1308,-0.0015
1309,-0.0016
1310,-0.0017
1311,-0.0167
1312,-0.0317
1313,-0.0467
1314,-0.0842
1315,-0.1216
1316,-0.159
1317,-0.1292
1318,-0.0995
1319,-0.0697
1320,-0.0399
1321,-0.0101
1322,0.0197
1323,0.0047
1324,-0.0103
1325,-0.0254
1326,-0.018
1327,-0.0106
1328,-0.0032
1329,0.0116
1330,0.0265
1331,0.0413
1332,0.1234
1333,0.2055
1334,0.2876
1335,0.2576
1336,0.2276
1337,0.1977
